955 servos, IRLZ44 MOSFET, Spiderbot/Lazarus 2014-06-19 estimates
Vgs = 5.0,Rds = 0.05000:
  I guess (A)	Vservo (V)	Vdrop (mV)	Itotal (A)	Iservo (A)
  0.25		4.988		12		0.249		0.249
  0.75		4.963		37		0.744		0.744
  1.25		4.938		62		1.235		1.235
  1.75		4.914		86		1.720		1.720
  2.25		4.890		110		2.200		2.200
  2.75		4.866		134		2.676		2.676
  3.25		4.843		157		3.148		3.148
  3.75		4.819		181		3.614		3.614
Vgs = 5.5,Rds = 0.04583:
  I guess (A)	Vservo (V)	Vdrop (mV)	Itotal (A)	Iservo (A)
  0.25		5.489		11		0.249		0.249
  0.75		5.466		34		0.745		0.745
  1.25		5.443		57		1.237		1.237
  1.75		5.421		79		1.725		1.725
  2.25		5.399		101		2.209		2.209
  2.75		5.377		123		2.688		2.688
  3.25		5.355		145		3.164		3.164
  3.75		5.333		167		3.636		3.636
Vgs = 6.0,Rds = 0.04615:
  I guess (A)	Vservo (V)	Vdrop (mV)	Itotal (A)	Iservo (A)
  0.25		5.988		12		0.250		0.250
  0.75		5.966		34		0.746		0.746
  1.25		5.943		57		1.238		1.238
  1.75		5.920		80		1.727		1.727
  2.25		5.898		102		2.212		2.212
  2.75		5.876		124		2.693		2.693
  3.25		5.854		146		3.171		3.171
  3.75		5.832		168		3.645		3.645
Vgs = 6.5,Rds = 0.04643:
  I guess (A)	Vservo (V)	Vdrop (mV)	Itotal (A)	Iservo (A)
  0.25		6.488		12		0.250		0.250
  0.75		6.465		35		0.746		0.746
  1.25		6.442		58		1.239		1.239
  1.75		6.420		80		1.728		1.728
  2.25		6.397		103		2.214		2.214
  2.75		6.375		125		2.697		2.697
  3.25		6.353		147		3.176		3.176
  3.75		6.330		170		3.652		3.652
